home_team,away_team,commence_time,p_home_book,p_away_book,n_books,overround
Detroit Pistons,Atlanta Hawks,2026-03-25T23:10:00Z,0.5621762620947587,0.43782373790524115,9,1.0417290054582926
Philadelphia 76ers,Chicago Bulls,2026-03-25T23:10:00Z,0.6929234826415259,0.3070765173584742,9,1.0506430886132292
Indiana Pacers,Los Angeles Lakers,2026-03-25T23:10:00Z,0.2280747764038537,0.7719252235961462,9,1.0492195803398565
Boston Celtics,Oklahoma City Thunder,2026-03-25T23:40:00Z,0.4512107451940899,0.5487892548059102,9,1.0432117300313455
Cleveland Cavaliers,Miami Heat,2026-03-25T23:40:00Z,0.5707045691489653,0.4292954308510348,9,1.0413778925995048
Memphis Grizzlies,San Antonio Spurs,2026-03-26T00:10:00Z,0.09405584819755736,0.9059441518024427,9,1.0434248430630415
Utah Jazz,Washington Wizards,2026-03-26T01:10:00Z,0.6106555401136439,0.38934445988635624,9,1.0415997464273123
Minnesota Timberwolves,Houston Rockets,2026-03-26T01:40:00Z,0.45854174671873527,0.5414582532812648,9,1.0439580904276071
Golden State Warriors,Brooklyn Nets,2026-03-26T02:10:00Z,0.8285306134640953,0.17146938653590468,9,1.0438712653805753
Denver Nuggets,Dallas Mavericks,2026-03-26T02:10:00Z,0.831216708270593,0.16878329172940706,9,1.0432653938175651
Portland Trail Blazers,Milwaukee Bucks,2026-03-26T02:10:00Z,0.8460328697741398,0.15396713022586017,9,1.0434132332075337
Los Angeles Clippers,Toronto Raptors,2026-03-26T02:40:00Z,0.6090249102313045,0.3909750897686956,9,1.0413636910559214
Charlotte Hornets,New York Knicks,2026-03-26T23:10:00Z,0.49383830789972477,0.5061616921002751,3,1.0451173714517372
