game_id,date,home_team,away_team,elo_home_pre,elo_away_pre,p_home_elo,home_won,elo_bin
0012500060,2025-10-14,Phoenix Suns,Los Angeles Lakers,1515.6842040664933,1486.9788673897237,0.6003713490488781,1,"(0.52, 0.606]"
0012500059,2025-10-14,Denver Nuggets,Chicago Bulls,1516.278684187348,1511.1117242459457,0.5674647598570411,1,"(0.52, 0.606]"
0012500021,2025-10-14,Portland Trail Blazers,Golden State Warriors,1500.2850587118282,1509.1902708033967,0.5474837020481254,0,"(0.52, 0.606]"
0012500020,2025-10-14,New Orleans Pelicans,Houston Rockets,1500.0,1524.144785795007,0.5256731211786716,0,"(0.52, 0.606]"
0012500058,2025-10-14,Milwaukee Bucks,Oklahoma City Thunder,1543.0582897146028,1502.0943641477977,0.6171759680467993,0,"(0.606, 0.692]"
0012500005,2025-10-15,Los Angeles Lakers,Dallas Mavericks,1475.7892651630923,1510.622620042428,0.510312168875814,0,"(0.435, 0.52]"
0012500022,2025-10-15,Sacramento Kings,LA Clippers,1471.5340618040009,1484.3403857325873,0.5419144792282511,0,"(0.52, 0.606]"
0012500061,2025-10-15,Charlotte Hornets,Memphis Grizzlies,1489.9788485802094,1454.3089844809551,0.6099503872153331,1,"(0.606, 0.692]"
0012500062,2025-10-15,Boston Celtics,Toronto Raptors,1513.3243406595263,1528.1081059376495,0.5390873920905878,1,"(0.52, 0.606]"
0012500063,2025-10-16,Detroit Pistons,Washington Wizards,1489.3719147482293,1501.593921320139,0.54274935175604,1,"(0.52, 0.606]"
0012500064,2025-10-16,Chicago Bulls,Minnesota Timberwolves,1499.0007375219427,1487.0897134060533,0.5769674683533115,1,"(0.52, 0.606]"
0012500024,2025-10-16,Atlanta Hawks,Houston Rockets,1512.7386538061326,1538.8636331880098,0.5228301054462979,0,"(0.52, 0.606]"
0012500023,2025-10-16,Orlando Magic,New Orleans Pelicans,1540.1647159396553,1485.2811526069972,0.635921730921434,1,"(0.606, 0.692]"
0012500025,2025-10-16,Utah Jazz,Portland Trail Blazers,1461.9541849391896,1484.9555150544807,0.5273140645295038,1,"(0.52, 0.606]"
0012500071,2025-10-17,Philadelphia 76ers,Minnesota Timberwolves,1484.9416219060747,1475.244802519946,0.573853465955678,1,"(0.52, 0.606]"
0012500068,2025-10-17,San Antonio Spurs,Indiana Pacers,1541.5323344164199,1512.745393664253,0.6004840489764977,1,"(0.52, 0.606]"
0012500067,2025-10-17,Oklahoma City Thunder,Denver Nuggets,1519.3752912531081,1528.389670911351,0.5473280095477651,1,"(0.52, 0.606]"
0012500069,2025-10-17,Golden State Warriors,LA Clippers,1524.5198144607443,1499.5139911509782,0.5952511159592375,0,"(0.52, 0.606]"
0012500065,2025-10-17,Toronto Raptors,Brooklyn Nets,1515.202552916186,1500.0,0.5815852414137661,1,"(0.52, 0.606]"
0012500007,2025-10-17,Los Angeles Lakers,Sacramento Kings,1461.5005244345696,1456.36045638561,0.5674267634972823,0,"(0.52, 0.606]"
0012500006,2025-10-17,Miami Heat,Memphis Grizzlies,1435.2758060139624,1443.3875953229845,0.548614983987233,0,"(0.52, 0.606]"
0012500066,2025-10-17,New York Knicks,Charlotte Hornets,1495.5290324848588,1500.90023773818,0.5525186411699039,1,"(0.52, 0.606]"
0022500001,2025-10-21,Oklahoma City Thunder,Houston Rockets,1532.0501069857708,1553.502876140506,0.5295354167845335,1,"(0.52, 0.606]"
0022500002,2025-10-21,Los Angeles Lakers,Golden State Warriors,1445.6125750566457,1507.8527832138857,0.4709049055066385,0,"(0.435, 0.52]"
0022500085,2025-10-22,Memphis Grizzlies,New Orleans Pelicans,1458.748814874627,1475.0869610727973,0.5368633656977162,1,"(0.52, 0.606]"
0022500089,2025-10-22,Portland Trail Blazers,Minnesota Timberwolves,1471.7203088613069,1463.312699566705,0.5720376347896264,0,"(0.52, 0.606]"
0022500088,2025-10-22,Phoenix Suns,Sacramento Kings,1526.8738062931247,1472.2484057635338,0.6355775906928375,1,"(0.606, 0.692]"
0022500087,2025-10-22,Utah Jazz,LA Clippers,1475.1893911323637,1516.1810223978368,0.5014511551856499,1,"(0.435, 0.52]"
0022500086,2025-10-22,Milwaukee Bucks,Washington Wizards,1525.7773626092924,1488.7909031693082,0.611751987935823,1,"(0.606, 0.692]"
0022500084,2025-10-22,Chicago Bulls,Detroit Pistons,1510.84564840805,1502.1749328990602,0.5724083748534586,1,"(0.52, 0.606]"
0022500081,2025-10-22,Orlando Magic,Miami Heat,1550.3589074738552,1419.91458646232,0.7296148380019792,1,"(0.692, 0.777]"
0022500082,2025-10-22,Atlanta Hawks,Toronto Raptors,1498.0994108536363,1526.9181661566006,0.5189602400774763,0,"(0.435, 0.52]"
0022500083,2025-10-22,Boston Celtics,Philadelphia 76ers,1526.2298936809898,1496.8737248593156,0.6012698891796467,0,"(0.52, 0.606]"
0022500080,2025-10-22,Charlotte Hornets,Brooklyn Nets,1488.3707596909373,1488.2843867595855,0.5602726433072213,1,"(0.52, 0.606]"
0022500004,2025-10-22,Dallas Mavericks,San Antonio Spurs,1524.9113607709508,1552.718781045078,0.5204134108200655,0,"(0.52, 0.606]"
0022500003,2025-10-22,New York Knicks,Cleveland Cavaliers,1508.0585105321015,1476.0191110555322,0.6049671047814066,1,"(0.52, 0.606]"
0022500005,2025-10-23,Indiana Pacers,Oklahoma City Thunder,1501.5589470355949,1545.2231153158039,0.49760508764387945,0,"(0.435, 0.52]"
0022500006,2025-10-23,Golden State Warriors,Denver Nuggets,1521.0381205680715,1515.7148551786884,0.5676855927769683,1,"(0.52, 0.606]"
0022500099,2025-10-24,LA Clippers,Phoenix Suns,1502.221654743035,1537.0776337537252,0.5102796239391971,1,"(0.435, 0.52]"
0022500098,2025-10-24,Sacramento Kings,Utah Jazz,1462.0445783029334,1489.1487587871654,0.5214236824615038,1,"(0.52, 0.606]"
0022500097,2025-10-24,Portland Trail Blazers,Golden State Warriors,1455.7032550871972,1533.1429239703164,0.4491743701645263,1,"(0.435, 0.52]"
0022500096,2025-10-24,Dallas Mavericks,Washington Wizards,1510.3397852679889,1477.9199588315112,0.6054903340303756,0,"(0.52, 0.606]"
0022500095,2025-10-24,New Orleans Pelicans,San Antonio Spurs,1462.1191353123334,1567.2903565480399,0.41007803833240736,0,"(0.349, 0.435]"
0022500094,2025-10-24,Memphis Grizzlies,Miami Heat,1471.716640635091,1412.3438019263754,0.6418836143648876,0,"(0.606, 0.692]"
0022500092,2025-10-24,Toronto Raptors,Milwaukee Bucks,1541.4490528787699,1536.6483069470894,0.5669472571153386,0,"(0.52, 0.606]"
0022500091,2025-10-24,Brooklyn Nets,Cleveland Cavaliers,1475.9720207721878,1464.9581899894115,0.5757064002719908,0,"(0.52, 0.606]"
0022500090,2025-10-24,Orlando Magic,Atlanta Hawks,1557.9296920097997,1483.568524131467,0.6614648071178221,0,"(0.606, 0.692]"
0022500019,2025-10-24,Los Angeles Lakers,Minnesota Timberwolves,1432.42723770246,1479.3297533408147,0.4929451810762311,1,"(0.435, 0.52]"
0022500018,2025-10-24,New York Knicks,Boston Celtics,1519.1194315982223,1509.3943367839597,0.5738932693065502,1,"(0.52, 0.606]"
0022500093,2025-10-24,Houston Rockets,Detroit Pistons,1540.329867810473,1490.202367394957,0.6295597314299183,0,"(0.606, 0.692]"
0022500100,2025-10-25,Orlando Magic,Chicago Bulls,1539.4086774105008,1522.8182139121532,0.5835281495074571,0,"(0.52, 0.606]"
0022500101,2025-10-25,Atlanta Hawks,Oklahoma City Thunder,1502.089538730766,1559.1560577698324,0.47833111735866407,0,"(0.435, 0.52]"
0022500102,2025-10-25,Philadelphia 76ers,Charlotte Hornets,1513.7092817563457,1500.683125678335,0.5785334657812591,1,"(0.52, 0.606]"
0022500103,2025-10-25,Memphis Grizzlies,Indiana Pacers,1453.743899432874,1487.6260045815663,0.5116804642935499,1,"(0.435, 0.52]"
0022500104,2025-10-25,Denver Nuggets,Phoenix Suns,1503.6100517764435,1523.3654632240227,0.5319688658194096,1,"(0.52, 0.606]"
0022500110,2025-10-26,Minnesota Timberwolves,Indiana Pacers,1465.1322184109492,1473.9530575817857,0.5476040265790169,1,"(0.52, 0.606]"
0022500112,2025-10-26,LA Clippers,Portland Trail Blazers,1515.9338252727375,1471.1263727225905,0.6223897359733401,1,"(0.606, 0.692]"
0022500111,2025-10-26,Dallas Mavericks,Toronto Raptors,1493.3860559151383,1525.5745296795403,0.5141161689853729,1,"(0.435, 0.52]"
0022500109,2025-10-26,Washington Wizards,Charlotte Hornets,1494.8736881843618,1488.8820627202103,0.5686295670560395,0,"(0.52, 0.606]"
0022500113,2025-10-26,Sacramento Kings,Los Angeles Lakers,1475.4447151940112,1446.6247726323254,0.6005296233553354,0,"(0.52, 0.606]"
0022500107,2025-10-26,Cleveland Cavaliers,Milwaukee Bucks,1481.0779691970272,1552.522830146319,0.4577265987450024,1,"(0.435, 0.52]"
0022500106,2025-10-26,Detroit Pistons,Boston Celtics,1507.8300398749948,1497.4633483245432,0.5747961874239974,1,"(0.52, 0.606]"
0022500105,2025-10-26,San Antonio Spurs,Brooklyn Nets,1578.7725416213473,1459.852241564572,0.7163304767625561,1,"(0.692, 0.777]"
0022500108,2025-10-26,Miami Heat,New York Knicks,1430.3165431285922,1531.0504200576388,0.41627123567136054,1,"(0.349, 0.435]"
0022500122,2025-10-27,Los Angeles Lakers,Portland Trail Blazers,1463.4396020862748,1460.5532853298441,0.5642395942556406,0,"(0.52, 0.606]"
0022500121,2025-10-27,Golden State Warriors,Memphis Grizzlies,1517.719806334923,1467.4168464326547,0.6297952530713596,1,"(0.606, 0.692]"
0022500120,2025-10-27,Utah Jazz,Phoenix Suns,1475.7486218960876,1510.2605914669662,0.5107744738267942,1,"(0.435, 0.52]"
0022500119,2025-10-27,Dallas Mavericks,Oklahoma City Thunder,1506.9908031835478,1572.549329055875,0.4661484206884301,0,"(0.435, 0.52]"
0022500118,2025-10-27,San Antonio Spurs,Toronto Raptors,1586.7152882719956,1511.9697824111308,0.6619600568817826,1,"(0.606, 0.692]"
0022500116,2025-10-27,Houston Rockets,Brooklyn Nets,1522.7021953304352,1451.9094949139237,0.6568497664612122,1,"(0.606, 0.692]"
0022500115,2025-10-27,Chicago Bulls,Atlanta Hawks,1539.157002098362,1488.6962674447234,0.6300069835333127,1,"(0.606, 0.692]"
0022500114,2025-10-27,Philadelphia 76ers,Orlando Magic,1525.5103447144704,1523.069889224292,0.5636084361849314,1,"(0.52, 0.606]"
0022500008,2025-10-27,Minnesota Timberwolves,Denver Nuggets,1477.7993056667367,1516.7149235335,0.5044386660958069,0,"(0.435, 0.52]"
0022500007,2025-10-27,Detroit Pistons,Cleveland Cavaliers,1519.7357466271228,1496.261624432167,0.5931250453590143,0,"(0.52, 0.606]"
0022500117,2025-10-27,New Orleans Pelicans,Boston Celtics,1450.636950239026,1485.5576415724152,0.5101865344291293,0,"(0.435, 0.52]"
0022500127,2025-10-28,Golden State Warriors,LA Clippers,1528.085539248925,1526.506912665484,0.5623878547357662,1,"(0.52, 0.606]"
0022500125,2025-10-28,Milwaukee Bucks,New York Knicks,1537.339174911179,1514.706014656437,0.5919562614034448,1,"(0.52, 0.606]"
0022500126,2025-10-28,Oklahoma City Thunder,Sacramento Kings,1585.601484835151,1458.6298857400618,0.7256531000211415,1,"(0.692, 0.777]"
0022500123,2025-10-28,Washington Wizards,Philadelphia 76ers,1478.9520603067926,1537.7293085012923,0.47587434822170627,0,"(0.435, 0.52]"
0022500124,2025-10-28,Miami Heat,Charlotte Hornets,1446.660948529794,1504.8036905977795,0.47678542927700235,1,"(0.435, 0.52]"
0022500137,2025-10-29,Phoenix Suns,Memphis Grizzlies,1496.5622767341165,1457.0511135186528,0.6151981710141984,0,"(0.606, 0.692]"
0022500136,2025-10-29,Minnesota Timberwolves,Los Angeles Lakers,1463.6750230160542,1447.640893447117,0.5827496568393814,0,"(0.52, 0.606]"
0022500134,2025-10-29,Denver Nuggets,New Orleans Pelicans,1530.8392061841826,1436.3517272750103,0.6869040847587895,1,"(0.606, 0.692]"
0022500133,2025-10-29,Dallas Mavericks,Indiana Pacers,1493.9386474042717,1461.2859703259983,0.6058104715164075,1,"(0.52, 0.606]"
0022500135,2025-10-29,Utah Jazz,Portland Trail Blazers,1489.4469366289372,1476.351993969002,0.5786300124955615,0,"(0.52, 0.606]"
0022500131,2025-10-29,Toronto Raptors,Houston Rockets,1502.5046640038208,1532.3104018695212,0.5175417514607519,0,"(0.435, 0.52]"
0022500130,2025-10-29,Brooklyn Nets,Atlanta Hawks,1442.3012883748377,1478.3364629836562,0.5085832304951792,0,"(0.435, 0.52]"
0022500129,2025-10-29,Detroit Pistons,Orlando Magic,1503.1282453570705,1510.85092543747,0.5491696027550511,1,"(0.52, 0.606]"
0022500128,2025-10-29,Boston Celtics,Cleveland Cavaliers,1499.8428645364309,1512.8691257022194,0.5416001717086909,1,"(0.52, 0.606]"
0022500132,2025-10-29,Chicago Bulls,Sacramento Kings,1549.5168065594291,1450.9481725406538,0.6919343354030428,1,"(0.692, 0.777]"
0022500138,2025-10-30,Charlotte Hornets,Orlando Magic,1490.1536826175354,1498.2276743146115,0.548668864319742,0,"(0.52, 0.606]"
0022500139,2025-10-30,Milwaukee Bucks,Golden State Warriors,1548.7643995918827,1540.3386793163236,0.5720631573706153,1,"(0.52, 0.606]"
0022500140,2025-10-30,Oklahoma City Thunder,Washington Wizards,1593.283198034559,1465.627578556585,0.7264362908354854,1,"(0.692, 0.777]"
0022500141,2025-10-30,San Antonio Spurs,Miami Heat,1596.1804066793056,1461.310956510038,0.7346106032944669,1,"(0.692, 0.777]"
0022500025,2025-10-31,Phoenix Suns,Utah Jazz,1479.3367279457188,1473.2452962790614,0.5687704881174073,1,"(0.52, 0.606]"
0022500027,2025-10-31,LA Clippers,New Orleans Pelicans,1514.2537725980853,1427.5850416482563,0.6771438260953034,1,"(0.606, 0.692]"
0022500024,2025-10-31,Memphis Grizzlies,Los Angeles Lakers,1474.2766623070504,1463.9578838386196,0.5747287765759616,0,"(0.52, 0.606]"
0022500026,2025-10-31,Portland Trail Blazers,Denver Nuggets,1492.5536343188778,1539.6058918109366,0.4927297294509962,1,"(0.435, 0.52]"
0022500022,2025-10-31,Cleveland Cavaliers,Toronto Raptors,1500.0339305100629,1488.0134949629198,0.5771211855384139,0,"(0.52, 0.606]"
0022500020,2025-10-31,Indiana Pacers,Atlanta Hawks,1450.2486635284577,1492.5767934375212,0.49952778324216424,0,"(0.435, 0.52]"
0022500023,2025-10-31,Chicago Bulls,New York Knicks,1558.1426451681439,1503.2807899757333,0.6358927985444032,1,"(0.606, 0.692]"
0022500021,2025-10-31,Philadelphia 76ers,Boston Celtics,1551.0537902515,1512.6780597285874,0.6136497294133975,0,"(0.606, 0.692]"
0022500142,2025-11-01,Milwaukee Bucks,Sacramento Kings,1560.7466311855055,1442.322333931939,0.7157499343211711,0,"(0.692, 0.777]"
0022500143,2025-11-01,Charlotte Hornets,Minnesota Timberwolves,1474.7909544165827,1447.3580326245515,0.5986127028683857,0,"(0.52, 0.606]"
0022500144,2025-11-01,Indiana Pacers,Golden State Warriors,1436.261885597677,1528.3564477227008,0.42840358189226235,1,"(0.349, 0.435]"
0022500145,2025-11-01,Washington Wizards,Orlando Magic,1457.9677946999784,1513.5904025155642,0.4804055315845045,0,"(0.435, 0.52]"
0022500146,2025-11-01,Boston Celtics,Houston Rockets,1529.8602521521625,1546.8015709104222,0.5359999392786082,0,"(0.52, 0.606]"
0022500155,2025-11-02,Los Angeles Lakers,Miami Heat,1480.0502895827465,1453.8800534022832,0.5968649904507513,1,"(0.52, 0.606]"
0022500154,2025-11-02,Phoenix Suns,San Antonio Spurs,1491.4111542784315,1603.6113097870605,0.4003265713665499,1,"(0.349, 0.435]"
0022500153,2025-11-02,New York Knicks,Chicago Bulls,1493.0857883349765,1568.3376468089007,0.452292303505619,1,"(0.435, 0.52]"
0022500152,2025-11-02,Toronto Raptors,Memphis Grizzlies,1504.1728881579954,1458.1842565629236,0.6239864043048976,1,"(0.606, 0.692]"
0022500150,2025-11-02,Charlotte Hornets,Utah Jazz,1458.0297987362678,1461.1708699463488,0.5556904709847956,1,"(0.52, 0.606]"
0022500149,2025-11-02,Brooklyn Nets,Philadelphia 76ers,1428.0609579209727,1533.871597827925,0.40918789923688914,0,"(0.349, 0.435]"
0022500148,2025-11-02,Oklahoma City Thunder,New Orleans Pelicans,1600.9429818911656,1418.5450687789248,0.7844412563193847,1,"(0.777, 0.863]"
0022500151,2025-11-02,Cleveland Cavaliers,Atlanta Hawks,1483.8745373149873,1506.5635713683018,0.527762131363863,1,"(0.52, 0.606]"
0022500162,2025-11-03,Denver Nuggets,Sacramento Kings,1525.4023242355645,1462.3633320929318,0.6467201263823124,1,"(0.606, 0.692]"
0022500164,2025-11-03,LA Clippers,Miami Heat,1523.2937454674168,1442.5922731349042,0.6695889326218625,0,"(0.606, 0.692]"
0022500163,2025-11-03,Portland Trail Blazers,Los Angeles Lakers,1506.7572018942499,1491.3380698501255,0.5818885945168779,0,"(0.52, 0.606]"
0022500161,2025-11-03,Memphis Grizzlies,Detroit Pistons,1447.6558758834608,1515.751496479929,0.4625158443108442,0,"(0.435, 0.52]"
0022500158,2025-11-03,Boston Celtics,Utah Jazz,1514.8522538523614,1448.7302031339232,0.6507643203769472,0,"(0.606, 0.692]"
0022500159,2025-11-03,New York Knicks,Washington Wizards,1508.4216038368193,1444.5164398156123,0.6478584783302483,1,"(0.606, 0.692]"
0022500156,2025-11-03,Brooklyn Nets,Minnesota Timberwolves,1416.6036967423397,1464.1191883048664,0.4920632362988408,0,"(0.435, 0.52]"
0022500160,2025-11-03,Houston Rockets,Dallas Mavericks,1561.8095692102233,1504.9759542018123,0.6385167081844261,1,"(0.606, 0.692]"
0022500157,2025-11-03,Indiana Pacers,Milwaukee Bucks,1452.2665853046938,1540.7056330245127,0.4335640076873797,0,"(0.349, 0.435]"
0022500165,2025-11-04,Toronto Raptors,Milwaukee Bucks,1514.7012688374582,1552.8454252397594,0.5055487771884071,1,"(0.435, 0.52]"
0022500166,2025-11-04,Atlanta Hawks,Orlando Magic,1493.34091104649,1527.0417573999302,0.5119411711117366,1,"(0.435, 0.52]"
0022500167,2025-11-04,Chicago Bulls,Philadelphia 76ers,1553.001831307058,1545.3288590065579,0.571002038824789,1,"(0.52, 0.606]"
0022500168,2025-11-04,New Orleans Pelicans,Charlotte Hornets,1412.5094239558675,1470.4704655486935,0.47704635991180566,1,"(0.435, 0.52]"
0022500169,2025-11-04,Golden State Warriors,Phoenix Suns,1512.351748015684,1508.202010280168,0.5660269472674871,1,"(0.52, 0.606]"
0022500170,2025-11-04,LA Clippers,Oklahoma City Thunder,1504.5452553540047,1606.9786267142229,0.4138960154434184,0,"(0.349, 0.435]"
0022500181,2025-11-05,Sacramento Kings,Golden State Warriors,1452.4714956316366,1524.5029934921945,0.4568885155555185,1,"(0.435, 0.52]"
0022500177,2025-11-05,Dallas Mavericks,New Orleans Pelicans,1494.8544220309764,1427.152125878337,0.6528288655415998,0,"(0.606, 0.692]"
0022500180,2025-11-05,Portland Trail Blazers,Oklahoma City Thunder,1490.4643212477772,1618.5677151466386,0.3785632480763507,1,"(0.349, 0.435]"
0022500179,2025-11-05,Los Angeles Lakers,San Antonio Spurs,1507.6309504965982,1586.820453785324,0.4466834729802421,1,"(0.435, 0.52]"
0022500178,2025-11-05,Denver Nuggets,Miami Heat,1535.2941606968598,1461.3407632483163,0.6609389758282423,1,"(0.606, 0.692]"
0022500175,2025-11-05,New York Knicks,Minnesota Timberwolves,1518.2815664435723,1477.8969589212338,0.6163877428943312,1,"(0.606, 0.692]"
0022500174,2025-11-05,Boston Celtics,Washington Wizards,1496.630852881807,1434.6564772088593,0.6453186897424208,1,"(0.606, 0.692]"
0022500173,2025-11-05,Indiana Pacers,Brooklyn Nets,1440.1267930894471,1402.8259261259723,0.6121817670518998,0,"(0.606, 0.692]"
0022500172,2025-11-05,Detroit Pistons,Utah Jazz,1528.7019401206328,1466.9516041044776,0.6450234502269858,1,"(0.606, 0.692]"
0022500171,2025-11-05,Cleveland Cavaliers,Philadelphia 76ers,1497.0971976367991,1533.316916093652,0.5083177264163755,1,"(0.435, 0.52]"
0022500176,2025-11-05,Memphis Grizzlies,Houston Rockets,1434.705432242757,1571.9311013810593,0.36629070833971394,0,"(0.349, 0.435]"
0022500182,2025-11-06,Phoenix Suns,LA Clippers,1496.0507648036576,1492.9561669215889,0.5645343643620423,1,"(0.52, 0.606]"
0022500038,2025-11-07,Sacramento Kings,Oklahoma City Thunder,1467.678617196082,1601.1674860927765,0.3712980321258582,0,"(0.349, 0.435]"
0022500037,2025-11-07,Denver Nuggets,Golden State Warriors,1544.787869373669,1509.295871927749,0.6097067669288698,1,"(0.606, 0.692]"
0022500036,2025-11-07,Minnesota Timberwolves,Utah Jazz,1467.155815722275,1457.0122607108333,0.574482223979229,1,"(0.52, 0.606]"
0022500035,2025-11-07,Milwaukee Bucks,Chicago Bulls,1539.0007910010347,1565.0137742199638,0.5229909424805899,1,"(0.52, 0.606]"
0022500034,2025-11-07,Memphis Grizzlies,Dallas Mavericks,1424.4492924092451,1476.5752137958116,0.48543175232785357,1,"(0.435, 0.52]"
0022500032,2025-11-07,San Antonio Spurs,Houston Rockets,1571.3275910287707,1582.1872412145713,0.5446949459974806,1,"(0.52, 0.606]"
0022500031,2025-11-07,Brooklyn Nets,Detroit Pistons,1419.9670156034254,1538.6412835142771,0.3914139629483687,0,"(0.349, 0.435]"
0022500030,2025-11-07,Atlanta Hawks,Toronto Raptors,1507.0065582553614,1528.5459030761829,0.5294112573088436,0,"(0.52, 0.606]"
0022500029,2025-11-07,Washington Wizards,Cleveland Cavaliers,1424.725400521647,1510.8643012971406,0.4368185595123879,0,"(0.435, 0.52]"
0022500028,2025-11-07,Orlando Magic,Boston Celtics,1513.3761101910588,1506.5619295690192,0.5697906376404414,1,"(0.52, 0.606]"
0022500033,2025-11-07,Miami Heat,Charlotte Hornets,1451.847054571507,1455.827763626224,0.5544968062890595,1,"(0.52, 0.606]"
0022500188,2025-11-08,San Antonio Spurs,New Orleans Pelicans,1584.0761325408412,1445.4313341135019,0.7388258961710508,1,"(0.692, 0.777]"
