wallclock_str,period,clock,sec_elapsed,ill_score,uconn_score,margin,description
2026-04-05T00:04:44+00:00,2,4:38,2122,53,59,-6,Tarris Reed Jr. makes layup (Alex Karaban assists)
2026-04-05T00:05:15+00:00,2,4:08,2152,53,61,-8,Solo Ball makes 3-foot dunk (Alex Karaban assists)
2026-04-05T00:06:13+00:00,2,3:10,2210,56,61,-5,Ben Humrichous makes 26-foot three point jumper (Andrej Stojakovic assists)
2026-04-05T00:10:20+00:00,2,2:46,2234,56,62,-6,Tarris Reed Jr. makes free throw 1 of 2
2026-04-05T00:10:34+00:00,2,2:46,2234,56,63,-7,Tarris Reed Jr. makes free throw 2 of 2
2026-04-05T00:11:44+00:00,2,2:31,2249,57,63,-6,David Mirkovic makes free throw 2 of 2
2026-04-05T00:14:14+00:00,2,1:38,2302,59,63,-4,Keaton Wagler makes driving layup
2026-04-05T00:16:26+00:00,2,0:52,2348,59,66,-7,Braylon Mullins makes 25-foot three point jumper (Silas Demary Jr. assists)
2026-04-05T00:16:38+00:00,2,0:44,2356,62,66,-4,Keaton Wagler makes 25-foot three point step back jumpshot
2026-04-05T00:19:43+00:00,2,0:36,2364,62,67,-5,Silas Demary Jr. makes free throw 1 of 2
2026-04-05T00:20:05+00:00,2,0:36,2364,62,68,-6,Silas Demary Jr. makes free throw 2 of 2
2026-04-05T00:21:01+00:00,2,0:26,2374,62,69,-7,Jayden Ross makes free throw 1 of 2
2026-04-05T00:22:36+00:00,2,0:13,2387,62,70,-8,Tarris Reed Jr. makes free throw 1 of 2
2026-04-05T00:22:52+00:00,2,0:13,2387,62,71,-9,Tarris Reed Jr. makes free throw 2 of 2
